,id_comune,Comune,Grado,Materia,Anno,Punteggio_percentuale_medio,Dev_Std_Punteggio_Percentuale,Punteggio_wle_medio,Dev_Std_Punteggio_wle,perc_copertura_stu
52626,22205,TRENTO,8,Mathematics,2016-17,"59,30","20,44","210,52","42,47","93,24"
52627,22230,PREDAIA,8,Mathematics,2016-17,"59,40","19,78","210,73","40,41","96,00"
53402,22006,ARCO,10,Mathematics,2016-17,"50,68","15,30","204,19","24,10","94,44"
53403,22022,BORGO VALSUGANA,10,Mathematics,2016-17,"55,13","21,48","213,56","39,37","86,86"
53404,22050,CAVALESE,10,Mathematics,2016-17,"52,23","19,59","207,39","33,23","89,36"
53405,22061,CIVEZZANO,10,Mathematics,2016-17,"50,73","19,79","205,09","34,83","93,55"
53406,22062,CLES,10,Mathematics,2016-17,"51,58","20,46","199,65","44,30","95,09"
53407,22117,MEZZOLOMBARDO,10,Mathematics,2016-17,"57,08","20,00","215,34","34,02","95,28"
53408,22139,PERGINE VALSUGANA,10,Mathematics,2016-17,"53,00","19,24","208,23","32,14","89,73"
53410,22153,RIVA DEL GARDA,10,Mathematics,2016-17,"66,92","18,69","233,81","37,04","94,52"
53411,22161,ROVERETO,10,Mathematics,2016-17,"56,58","22,81","216,32","43,74","90,67"
53412,22199,TIONE DI TRENTO,10,Mathematics,2016-17,"63,38","20,37","227,50","37,27","83,96"
53413,22205,TRENTO,10,Mathematics,2016-17,"62,08","19,88","223,85","37,18","89,44"
53414,22245,PRIMIERO SAN MARTINO DI CASTROZZA,10,Mathematics,2016-17,"50,05","16,71","196,23","30,57","95,74"
55188,22001,ALA,2,Italian,2017-18,"50,66","18,97","199,80","32,87","94,23"
55189,22006,ARCO,2,Italian,2017-18,"53,29","22,02","200,10","39,88","94,83"
55190,22007,AVIO,2,Italian,2017-18,"56,11","21,85","204,20","41,78","94,87"
55191,22009,BASELGA DI PINÈ,2,Italian,2017-18,"59,01","20,12","204,40","35,06","95,56"
55192,22047,CASTELLO-MOLINA DI FIEMME,2,Italian,2017-18,"62,43","11,46","214,75","19,77","94,74"
55193,22050,CAVALESE,2,Italian,2017-18,"50,46","21,58","199,29","37,59","93,10"
55194,22053,CAVEDINE,2,Italian,2017-18,"56,13","22,75","203,60","39,55","96,88"
55195,22061,CIVEZZANO,2,Italian,2017-18,"70,50","14,46","230,30","28,83","88,37"
55196,22079,DRO,2,Italian,2017-18,"53,16","21,45","197,13","40,19","93,67"
55197,22103,LAVIS,2,Italian,2017-18,"53,52","22,05","202,85","39,40","93,48"
55198,22115,MEZZANO,2,Italian,2017-18,"57,38","21,31","202,20","37,03","97,37"
55199,22139,PERGINE VALSUGANA,2,Italian,2017-18,"53,24","20,40","202,33","36,62","94,47"
55200,22153,RIVA DEL GARDA,2,Italian,2017-18,"48,53","21,90","194,83","41,60","89,64"
55201,22156,RONCEGNO TERME,2,Italian,2017-18,"51,85","19,38","202,16","34,02","93,10"
55202,22161,ROVERETO,2,Italian,2017-18,"51,37","23,06","199,42","43,73","91,61"
55203,22167,SAN MICHELE ALL'ADIGE,2,Italian,2017-18,"54,62","20,22","203,06","34,58","81,63"
55204,22183,STORO,2,Italian,2017-18,"46,64","22,60","194,60","43,58","91,80"
55205,22205,TRENTO,2,Italian,2017-18,"52,10","24,14","198,46","47,95","91,04"
55206,22213,VERMIGLIO,2,Italian,2017-18,"55,04","21,18","206,87","36,68","88,24"
55207,22229,LEDRO,2,Italian,2017-18,"55,98","21,44","201,54","40,68","80,77"
55208,22230,PREDAIA,2,Italian,2017-18,"59,41","22,46","210,02","38,37","87,50"
55209,22236,ALTOPIANO DELLA VIGOLANA,2,Italian,2017-18,"57,04","19,87","207,01","34,21","91,07"
55210,22240,CASTEL IVANO,2,Italian,2017-18,"53,39","25,34","204,96","45,83","83,87"
55211,22243,MADRUZZO,2,Italian,2017-18,"52,26","19,14","203,20","34,31","92,86"
55212,22245,PRIMIERO SAN MARTINO DI CASTROZZA,2,Italian,2017-18,"55,24","20,74","202,14","35,51","100,00"
55213,22246,SELLA GIUDICARIE,2,Italian,2017-18,"57,12","21,18","207,32","40,01","95,24"
55214,22247,TRE VILLE,2,Italian,2017-18,"48,77","17,61","192,11","31,32","89,47"
55215,22248,VALLELAGHI,2,Italian,2017-18,"52,95","23,43","201,94","41,24","94,23"
55216,22249,VILLE D'ANAUNIA,2,Italian,2017-18,"52,84","22,68","200,70","40,44","93,94"
58954,22001,ALA,5,Italian,2017-18,"60,40","20,04","198,67","41,41","95,37"
58955,22006,ARCO,5,Italian,2017-18,"58,19","17,34","191,78","34,02","92,81"
58956,22007,AVIO,5,Italian,2017-18,"66,10","16,50","208,25","33,45","89,74"
58957,22009,BASELGA DI PINÈ,5,Italian,2017-18,"63,54","16,53","203,68","34,40","95,56"
58958,22047,CASTELLO-MOLINA DI FIEMME,5,Italian,2017-18,"60,07","15,24","193,64","30,88","96,15"
58959,22050,CAVALESE,5,Italian,2017-18,"67,56","13,22","212,23","27,32","89,47"
58960,22053,CAVEDINE,5,Italian,2017-18,"61,30","16,65","199,29","34,86","89,47"
58961,22061,CIVEZZANO,5,Italian,2017-18,"62,04","17,64","200,86","34,93","93,75"
58962,22079,DRO,5,Italian,2017-18,"58,72","16,60","193,02","31,76","89,47"
58963,22103,LAVIS,5,Italian,2017-18,"62,39","13,94","198,82","28,03","91,76"
58964,22115,MEZZANO,5,Italian,2017-18,"62,63","17,43","203,51","37,66","93,48"
58965,22139,PERGINE VALSUGANA,5,Italian,2017-18,"60,52","17,11","197,23","33,60","92,38"
58966,22153,RIVA DEL GARDA,5,Italian,2017-18,"55,33","17,35","184,61","33,67","91,76"
58967,22156,RONCEGNO TERME,5,Italian,2017-18,"65,98","14,70","207,33","29,47","100,00"
58968,22161,ROVERETO,5,Italian,2017-18,"63,83","18,27","204,52","38,05","92,53"
58969,22167,SAN MICHELE ALL'ADIGE,5,Italian,2017-18,"62,64","14,90","195,99","27,86","94,59"
58970,22183,STORO,5,Italian,2017-18,"59,38","18,63","196,46","37,28","94,03"
58971,22205,TRENTO,5,Italian,2017-18,"62,71","17,92","201,41","36,52","90,01"
58972,22213,VERMIGLIO,5,Italian,2017-18,"59,80","12,49","191,73","23,51","84,62"
58973,22229,LEDRO,5,Italian,2017-18,"65,40","15,78","204,81","32,01","85,96"
58974,22230,PREDAIA,5,Italian,2017-18,"65,61","15,68","206,86","31,94","90,00"
58975,22236,ALTOPIANO DELLA VIGOLANA,5,Italian,2017-18,"62,29","19,29","197,35","39,15","96,49"
58976,22240,CASTEL IVANO,5,Italian,2017-18,"57,52","15,49","190,62","29,81","88,89"
58977,22243,MADRUZZO,5,Italian,2017-18,"65,68","17,66","205,72","37,85","100,00"
58978,22245,PRIMIERO SAN MARTINO DI CASTROZZA,5,Italian,2017-18,"69,88","13,04","216,40","28,34","92,16"
58979,22246,SELLA GIUDICARIE,5,Italian,2017-18,"50,89","23,75","176,19","49,60","94,29"
58980,22247,TRE VILLE,5,Italian,2017-18,"69,34","9,82","211,06","19,85","94,74"
58981,22248,VALLELAGHI,5,Italian,2017-18,"57,13","17,13","188,37","35,65","94,64"
58982,22249,VILLE D'ANAUNIA,5,Italian,2017-18,"61,38","18,83","197,74","40,36","94,12"
62325,22006,ARCO,8,Italian,2017-18,"999,00","999,00","206,42","32,94","96,98"
62326,22117,MEZZOLOMBARDO,8,Italian,2017-18,"999,00","999,00","204,32","35,23","92,16"
62327,22139,PERGINE VALSUGANA,8,Italian,2017-18,"999,00","999,00","200,69","38,86","93,63"
62328,22153,RIVA DEL GARDA,8,Italian,2017-18,"999,00","999,00","205,01","37,37","97,31"
62329,22161,ROVERETO,8,Italian,2017-18,"999,00","999,00","207,46","39,41","96,46"
62330,22205,TRENTO,8,Italian,2017-18,"999,00","999,00","210,05","38,96","96,27"
62331,22230,PREDAIA,8,Italian,2017-18,"999,00","999,00","220,39","40,95","100,00"
64404,22006,ARCO,10,Italian,2017-18,"999,00","999,00","195,50","28,66","93,94"
64405,22022,BORGO VALSUGANA,10,Italian,2017-18,"999,00","999,00","207,07","27,88","99,24"
64406,22050,CAVALESE,10,Italian,2017-18,"999,00","999,00","200,58","35,43","95,24"
64407,22061,CIVEZZANO,10,Italian,2017-18,"999,00","999,00","194,53","34,06","95,38"
64408,22062,CLES,10,Italian,2017-18,"999,00","999,00","216,67","29,97","97,11"
64409,22117,MEZZOLOMBARDO,10,Italian,2017-18,"999,00","999,00","206,17","34,41","91,74"
64410,22139,PERGINE VALSUGANA,10,Italian,2017-18,"999,00","999,00","201,76","32,74","95,45"
64411,22153,RIVA DEL GARDA,10,Italian,2017-18,"999,00","999,00","219,37","30,30","97,78"
64412,22161,ROVERETO,10,Italian,2017-18,"999,00","999,00","209,80","36,85","95,07"
64413,22199,TIONE DI TRENTO,10,Italian,2017-18,"999,00","999,00","210,85","28,11","97,81"
64414,22205,TRENTO,10,Italian,2017-18,"999,00","999,00","219,35","34,51","94,34"
64415,22245,PRIMIERO SAN MARTINO DI CASTROZZA,10,Italian,2017-18,"999,00","999,00","215,14","29,31","96,55"
