coordinatore_pedagogico,presidente_ente_gestore,sorastant,tipo_instituto,dirigente_scolastico,direttore,indirizzo,telefono,fax,email_istituto,email_dirigenza,email_segreteria,sito_web,miur_code,numero_plessi_scuole,nome_istituto
,,,Istituzione scolastica e formativa,VENERA MUNAFO',,"Via Murialdo,
    
27 -
    
38045    
CIVEZZANO",+39 0461 858485,+39 0461 858901,ic.civezzano@pec.provincia.tn.it,dir.i.c.civezzano@scuole.provincia.tn.it,segr.i.c.civezzano@scuole.provincia.tn.it,http://www.iccivezzano.eu,TNIC817004,6,"

                
ISTITUTO COMPRENSIVO CIVEZZANO
            
"
,,,Istituzione scolastica e formativa,ROMEO COLLINI,,"Via Papaleoni,
    
5 -
    
38089    
STORO",+39 0465 686039,+39 0465 687076,ic.chiese-storo@pec.provincia.tn.it,dir.ic.chiese@scuole.provincia.tn.it,segr.ic.chiese@scuole.provincia.tn.it,http://www.istitutodelchiese.it,TNIC838005,6,"

                
ISTITUTO COMPRENSIVO DEL CHIESE ""Don L. Milani""
            
"
,,,Istituzione scolastica e formativa,ROBERTA BISOFFI,,"Via Battisti,
    
24 -
    
38064    
FOLGARIA",+39 0464 721283,+39 0464 723563,ic.folgaria-lavarone@pec.provincia.tn.it,dir.rella.folgaria@scuole.provincia.tn.it,segr.rella.folgaria@scuole.provincia.tn.it,http://www.icfolgarialavaroneluserna.it,TNIC804002,8,"

                
ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA
            
"
,,,Istituzione scolastica e formativa,ROBERTA GAMBARO,,"Via Laviosa Zambotti - Fondo,
    
24 -
    
38020    
BORGO D'ANAUNIA",+39 0463 831134,+39 0463 831746,ic.fondo@pec.provincia.tn.it,dir.ic.fondo@scuole.provincia.tn.it,segr.ic.fondo@scuole.provincia.tn.it,http://www.icfondorevo.it,TNIC82800E,10,"

                
ISTITUTO COMPRENSIVO FONDO - REVO'
            
"
MILENA ENDRIZZI,,,Circolo di coordinamento pedagogico,,,"Viale Trento,
    
37/E -
    
38068    
ROVERETO",+39 0464 493116,+39 0464 493117,circolo.coordinamento09@provincia.tn.it,,circolo.coordinamento09@provincia.tn.it,,,9,"

                
Circolo di coordinamento n. 9
            
"
TATIANA SORAPERRA,,FEDERICO CORRADINI,Circolo di coordinamento pedagogico,,,"Strada Giuseppe Soraperra - Pozza di Fassa,
    
6 -
    
38036    
SAN GIOVANNI DI FASSA - SEN JAN",+39 0462 760340,+39 0462 760001,coordinamento.scuoleladine@provincia.tn.it,,coordinamento.scuoleladine@provincia.tn.it,,,3,"

                
Coordinamento pedagogico scuole provinciali dell'infanzia ladine
            
"
,,,Istituzione scolastica e formativa,ALESSANDRO MIORELLI,,"Via XXIV Maggio,
    
1 -
    
38062    
ARCO",+39 0464 519546,+39 0464 519959,gardascuola@pec.cooperazionetrentina.it,,segreteria@gardascuola.it,http://www.gardascuola.it,,5,"

                
GARDASCUOLA SOCIETA' COOPERATIVA SOCIALE - ARCO
            
"
,,,Istituzione scolastica e formativa,,LAURA SCALFI,"Piazzale Orsi,
    
1 -
    
38068    
ROVERETO",+39 0464 433484,+39 0464 436873,iscrizioni.veronesi@pec.it,,segreteria.dir@cfpgveronesi.it,http://www.cfpgveronesi.it,TNCF002001,3,"

                
Giuseppe Veronesi - Centro di istruzione scolastica e di formazione professionale
            
"
,,,Istituzione scolastica e formativa,MAURA MAINO,,"Via Don Anzelini,
    
2 -
    
38061    
ALA",+39 0464 671119,+39 0464 674138,ic.ala@pec.provincia.tn.it,dir.ic.ala@scuole.provincia.tn.it,segr.ic.ala@scuole.provincia.tn.it,http://www.istitutocomprensivoala.it,TNIC84800Q,3,"

                
ISTITUTO COMPRENSIVO ALA ""Antonio Bresciani""
            
"
,,,Istituzione scolastica e formativa,TIZIANA CHIARA PASQUINI,,"Via Della Torre Franca,
    
1 -
    
38123    
TRENTO",+39 0461 945237,+39 0464 946007,ic.aldeno-mattarello@pec.provincia.tn.it,dir.aldeno.mattarello@scuole.provincia.tn.it,segr.aldeno.mattarello@scuole.provincia.tn.it,http://www.icaldenomattarello.it,TNIC82100Q,6,"

                
ISTITUTO COMPRENSIVO ALDENO MATTARELLO
            
"
,,,Istituzione scolastica e formativa,FRANCO VANIN,,"Via S Michele,
    
11 -
    
38026    
OSSANA",+39 0463 751129,+39 0463 750043,ic.altavaldisole@pec.provincia.tn.it,dir.icaltavaldisole@scuole.provincia.tn.it,segr.icaltavaldisole@scuole.provincia.tn.it,http://www.icaltavaldisole.it,TNIC832006,7,"

                
ISTITUTO COMPRENSIVO ALTA VAL DI SOLE
            
"
,,,Istituzione scolastica e formativa,PIERA PEGORETTI,,"Via Stazione,
    
30 -
    
38060    
VOLANO",+39 0464 410475,+39 0461 490699,ic.altavallagarina@pec.provincia.tn.it,dir.ic.altavallagarina@scuole.provincia.tn.it,segr.ic.altavallagarina@scuole.provincia.tn.it,http://www.ic-altavallagarina.it,TNIC86000A,4,"

                
ISTITUTO COMPRENSIVO ALTA VALLAGARINA
            
"
,,,Istituzione scolastica e formativa,NORMA BORGOGNO,,"Via del XXVI Maggio - Baselga,
    
6 -
    
38042    
BASELGA DI PINE'",+39 0461 557138,+39 0461 558163,ic.pine@pec.provincia.tn.it,dir.ic.altopianodipine@scuole.provincia.tn.it,segr.ic.altopianodipine@scuole.provincia.tn.it,http://www.icpine.eu,TNIC816008,4,"

                
ISTITUTO COMPRENSIVO ALTOPIANO DI PINE'
            
"
,,,Istituzione scolastica e formativa,CLAUDIA TERRANOVA,,"Localita Prabi,
     -
    
38062    
ARCO",+39 0464 516429,+39 0464 517064,ic.arco@pec.provincia.tn.it,dir.ic.arco@scuole.provincia.tn.it,segr.ic.arco@scuole.provincia.tn.it,http://www.icarco.edu.it,TNIC840005,5,"

                
ISTITUTO COMPRENSIVO ARCO
            
"
,,,Istituzione scolastica e formativa,DANIELA FRUET,,"Via Monte Cristallo,
    
2 -
    
38057    
PERGINE VALSUGANA",+39 0461 532261,+39 0461 533167,ic.pergine1@pec.provincia.tn.it,dir.ic.pergine1@scuole.provincia.tn.it,segr.ic.pergine1@scuole.provincia.tn.it,http://www.icpergine1.it/,TNIC81400L,6,"

                
ISTITUTO COMPRENSIVO PERGINE 1
            
"
,,,Istituzione scolastica e formativa,STEFANO MORELATO,,"Via Amstetten,
    
4 -
    
38057    
PERGINE VALSUGANA",+39 0461 512312,+39 0461 530043,ic.pergine2@pec.provincia.tn.it,dir.freinet@scuole.provincia.tn.it,segr.freinet@scuole.provincia.tn.it,http://www.icpergine2.it,TNIC81500C,5,"

                
ISTITUTO COMPRENSIVO PERGINE 2 ""C. Freinet""
            
"
,,,Istituzione scolastica e formativa,ELISABETTA PIZIO,,"Corso Degasperi,
    
8 -
    
38037    
PREDAZZO",+39 0462 501131,+39 0462 500023,ic.predazzo@pec.provincia.tn.it,dir.ic.predazzo@scuole.provincia.tn.it,segr.ic.predazzo@scuole.provincia.tn.it,http://www.ic-predazzotesero.it,TNIC808009,5,"

                
ISTITUTO COMPRENSIVO PREDAZZO TESERO PANCHIA' ZIANO
            
"
,,,Istituzione scolastica e formativa,MAURIZIO CAPRONI,,"Piazza Contini,
    
8 -
    
38066    
RIVA DEL GARDA",+39 0464 552170,+39 0464 520789,ic.riva2@pec.provincia.tn.it,dir.ic.riva2@scuole.provincia.tn.it,segr.ic.riva2@scuole.provincia.tn.it,http://www.riva2.it,TNIC84200R,4,"

                
ISTITUTO COMPRENSIVO RIVA 2 ""L. Pizzini""
            
"
,,,Istituzione scolastica e formativa,DANIELA DEPENTORI,,"Corso Bettini,
    
67 -
    
38068    
ROVERETO",+39 0464 420759,+39 0464 480415,ic.roveretonord@pec.provincia.tn.it,dir.ic.roveretonord@scuole.provincia.tn.it,segr.ic.roveretonord@scuole.provincia.tn.it,http://www.icroveretonord.it,TNIC859006,3,"

                
ISTITUTO COMPRENSIVO ROVERETO NORD
            
"
,,,Istituzione scolastica e formativa,GIULIANA SIGHEL,,"Via Roma - Strigno,
    
14 -
    
38059    
CASTEL IVANO",+39 0461 762046,+39 0461 763409,ic.strignotesino@pec.provincia.tn.it,dir.ic.strignoetesino@scuole.provincia.tn.it,segr.ic.strignoetesino@scuole.provincia.tn.it,http://www.icstrignoetesino.it,TNIC80100E,8,"

                
ISTITUTO COMPRENSIVO STRIGNO E TESINO
            
"
,,,Istituzione scolastica e formativa,RENATO PAOLI,,"Via S Giovanni Bosco - Ponte Arche - Bleggio Inferiore,
    
14 -
    
38070    
COMANO TERME",+39 0465 701472,+39 0465 702452,ic.giudicarieesteriori@pec.provincia.tn.it,dir.ic.pontearche@scuole.provincia.tn.it,segr.ic.pontearche@scuole.provincia.tn.it,http://www.giudicariescuola.it,TNIC837009,6,"

                
ISTITUTO COMPRENSIVO GIUDICARIE ESTERIORI
            
"
,,,Istituzione scolastica e formativa,FRANCESCA LASARACINA,,"Via Sette,
    
13 -
    
38015    
LAVIS",+39 0461 246535,+39 0461 242955,ic.lavis@pec.provincia.tn.it,dir.ic.lavis@scuole.provincia.tn.it,segr.ic.lavis@scuole.provincia.tn.it,http://www.iclavis.it,TNIC825003,4,"

                
ISTITUTO COMPRENSIVO LAVIS
            
"
,,,Istituzione scolastica e formativa,EZIO MONTIBELLER,,"Via della Pace,
    
5 -
    
38056    
LEVICO TERME",+39 0461 706146,+39 0461 706099,ic.levicoterme@pec.provincia.tn.it,dir.ic.levico@scuole.provincia.tn.it,segr.ic.levico@scuole.provincia.tn.it,http://www.iclevico.eu,TNIC81800X,5,"

                
ISTITUTO COMPRENSIVO LEVICO TERME
            
"
,,,Istituzione scolastica e formativa,PAOLA SIGMUND,,"Via Fornai,
    
1 -
    
38016    
MEZZOCORONA",+39 0461 605409,+39 0461 605142,ic.mezzocorona@pec.provincia.tn.it,dir.ic.mezzocorona@scuole.provincia.tn.it,segr.ic.mezzocorona@scuole.provincia.tn.it,http://www.icmezzocorona.it,TNIC82300B,5,"

                
ISTITUTO COMPRENSIVO MEZZOCORONA
            
"
,,,Istituzione scolastica e formativa,CINZIA CASNA,,"Via Degli Alpini,
    
17 -
    
38017    
MEZZOLOMBARDO",+39 0461 601125,+39 0461 601125,ic.mezzolombardo@pec.provincia.tn.it,dir.ic.mezzolombardo@scuole.provincia.tn.it,segr.ic.mezzolombardo@scuole.provincia.tn.it,http://www.icmezzolombardopaganella.it,TNIC824007,9,"

                
ISTITUTO COMPRENSIVO MEZZOLOMBARDO - PAGANELLA
            
"
,,,Istituzione scolastica e formativa,VITO ROVIGO,,"Viale Degasperi,
    
69 -
    
38063    
AVIO",+39 0464 684029,+39 0464 687570,ic.avio@pec.provincia.tn.it,dir.ic.avio@scuole.provincia.tn.it,segr.ic.avio@scuole.provincia.tn.it,http://www.istitutoavio.it,TNIC84700X,3,"

                
ISTITUTO COMPRENSIVO AVIO
            
"
,,,Istituzione scolastica e formativa,PASQUA CINZIA SALOMONE,,"Via Taddei De Mauris,
    
4 -
    
38027    
MALE'",+39 0463 901237,+39 0463 902866,ic.bassavaldisole@pec.provincia.tn.it,dir.ciccolini.male@scuole.provincia.tn.it,segr.ciccolini.male@scuole.provincia.tn.it,http://www.icbassavaldisole.it,TNIC833002,6,"

                
ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. Ciccolini""
            
"
,,,Istituzione scolastica e formativa,LUIGI VITULLO,,"Via Spagolla,
    
1 -
    
38051    
BORGO VALSUGANA",+39 0461 753179,+39 0461 754131,ic.borgovalsugana@pec.provincia.tn.it,dir.ic.borgovalsugana@scuole.provincia.tn.it,segr.ic.borgovalsugana@scuole.provincia.tn.it,http://www.icborgovalsugana.gov.it,TNIC812001,4,"

                
ISTITUTO COMPRENSIVO BORGO VALSUGANA
            
"
,,,Istituzione scolastica e formativa,ROBERTO TROLLI,,"Piazza Verdi,
    
6 -
    
38033    
CAVALESE",+39 0462 340314,+39 0462 342294,ic.cavalese@pec.provincia.tn.it,dir.cavalese@scuole.provincia.tn.it,segr.cavalese@scuole.provincia.tn.it,http://www.iccavalese.it,TNIC809005,9,"

                
ISTITUTO COMPRENSIVO CAVALESE
            
"
,,,Istituzione scolastica e formativa,STEFANO CHESINI,,"Via Negritelle - Cembra,
    
1 -
    
38034    
CEMBRA LISIGNAGO",+39 0461 683006,+39 0461 682166,ic.cembra@pec.provincia.tn.it,dir.cembra@scuole.provincia.tn.it,segr.cembra@scuole.provincia.tn.it,http://www.iccembra.it,TNIC82200G,9,"

                
ISTITUTO COMPRENSIVO CEMBRA
            
"
,,,Istituzione scolastica e formativa,MAURA ZINI,,"Via Degli Alpini - Taio,
    
17 -
    
38012    
PREDAIA",+39 0463 468193,+39 0463 467616,ic.taio@pec.provincia.tn.it,dir.ictaio@scuole.provincia.tn.it,segr.ictaio@scuole.provincia.tn.it,http://www.ictaio.it,TNIC82600V,5,"

                
ISTITUTO COMPRENSIVO TAIO
            
"
,,,Istituzione scolastica e formativa,ALBERTO PARIS,,"Via Circonvallazione,
    
44 -
    
38079    
TIONE DI TRENTO",+39 0465 321053,+39 0465 324039,ic.tione@pec.provincia.tn.it,dir.ictione@scuole.provincia.tn.it,segr.ictione@scuole.provincia.tn.it,http://www.ictione.tn.it,TNIC83600D,7,"

                
ISTITUTO COMPRENSIVO TIONE
            
"
,,,Istituzione scolastica e formativa,LAURA DE DONNO,,"Via Znojmo,
    
24 -
    
38123    
TRENTO",+39 0461 912740,+39 0461 912065,ic.trento1@pec.provincia.tn.it,dir.ic.tn1@scuole.provincia.tn.it,segr.ic.tn1@scuole.provincia.tn.it,http://www.ictrento1.it,TNIC81900Q,3,"

                
ISTITUTO COMPRENSIVO TRENTO 1
            
"
,,,Istituzione scolastica e formativa,CARLO ZANETTI,,"Via Ponte Alto,
    
2/1 -
    
38121    
TRENTO",+39 0461 982113,+39 0461 237554,ic.comenius@pec.provincia.tn.it,dir.ictn2@scuole.provincia.tn.it,segr.ictn2@scuole.provincia.tn.it,http://www.icomenius.it,TNIC82000X,5,"

                
ISTITUTO COMPRENSIVO TRENTO 2 ""J. A. Comenius""
            
"
,,,Istituzione scolastica e formativa,LINA BROCH,,"Via Vittorio Veneto,
    
61 -
    
38122    
TRENTO",+39 0461 934977,+39 0461 920605,ic.trento3@pec.provincia.tn.it,dir.ic.tn3@scuole.provincia.tn.it,segr.ic.tn3@scuole.provincia.tn.it,http://www.ictrento3.it,TNIC85600P,5,"

                
ISTITUTO COMPRENSIVO TRENTO 3
            
"
,,,Istituzione scolastica e formativa,PATRIZIA VISCONTI,,"Piazzale Europa,
    
4 -
    
38123    
TRENTO",+39 0461 920316,+39 0461 922030,ic.trento4@pec.provincia.tn.it,dir.ictn4@scuole.provincia.tn.it,segr.ictn4@scuole.provincia.tn.it,http://www.ictrento4.it,TNIC85700E,5,"

                
ISTITUTO COMPRENSIVO TRENTO 4
            
"
,,,Istituzione scolastica e formativa,PAOLA PASQUALIN,,"Via S Giovanni Bosco,
    
8 -
    
38122    
TRENTO",+39 0461 263331,+39 0461 984463,ic.tn5@pec.provincia.tn.it,dir.ic.tn5@scuole.provincia.tn.it,segr.ic.tn5@scuole.provincia.tn.it,http://www.istitutotrento5.it/,TNIC85200B,4,"

                
ISTITUTO COMPRENSIVO TRENTO 5
            
"
,,,Istituzione scolastica e formativa,GIULIO BERTOLDI,,"Via XXIV Maggio,
    
7 -
    
38051    
BORGO VALSUGANA",+39 0461 753647,+39 0461 753364,degasperi@pec.provincia.tn.it,dir.istalcidedegasperi@scuole.provincia.tn.it,segr.istalcidedegasperi@scuole.provincia.tn.it,http://www.istalcidedegasperi.it,TNIS00200E,9,"

                
ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA
            
"
,,,Istituzione scolastica e formativa,ALESSANDRO FABRIS,,"Via Durone,
    
53 -
    
38079    
TIONE DI TRENTO",+39 0465 321735,+39 0465 322811,guetti@pec.provincia.tn.it,dir.guetti@scuole.provincia.tn.it,segr.guetti@scuole.provincia.tn.it,http://www.guetti.tn.it,TNIS00700N,9,"

                
ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO
            
"
,,,Istituzione scolastica e formativa,TIZIANA GULLI,,"Via S Pietro,
    
4 -
    
38057    
PERGINE VALSUGANA",+39 0461 511397,+39 0461 531743,curie@pec.provincia.tn.it,dir.curie.pergine@scuole.provincia.tn.it,segr.curie.pergine@scuole.provincia.tn.it,http://www.curiepergine.it,TNIS004006,10,"

                
ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA
            
"
KATIA PEGORETTI,,,Circolo di coordinamento pedagogico,,,"Via Gilli,
    
3 -
    
38121    
TRENTO",+39 0461 496956,+39 0461 499283,circolo.coordinamento06@provincia.tn.it,,circolo.coordinamento06@provincia.tn.it,,,7,"

                
Circolo di coordinamento n. 6
            
"
LAURA BERTOLDI,,,Circolo di coordinamento pedagogico,,,"Via Filos,
    
2 -
    
38017    
MEZZOLOMBARDO",+39 0461 494331,+39 0461 494334,circolo.coordinamento07@provincia.tn.it,,circolo.coordinamento07@provincia.tn.it,,,11,"

                
Circolo di coordinamento n. 7
            
"
,,,Istituzione scolastica e formativa,VALENTINA DANTE,,"Via Saibanti,
    
6 -
    
38068    
ROVERETO",+39 0464 434047,,segreteria@lavela.famigliamaterna.it,direzione@lavela.famigliamaterna.it,segreteria@scuolalavela.it,http://www.scuolalavela.it,,2,"

                
SCUOLA PARITARIA LA VELA - FONDAZIONE FAMIGLIA MATERNA - ROVERETO
            
"
,,,Istituzione scolastica e formativa,ANDREA SCHELFI,CAZZANI DANIELA,"Viale Dei Colli,
    
17 -
    
38068    
ROVERETO",+39 0464 439164,+39 0464 435851,ifpa.rovereto@pec.provincia.tn.it,dir.ifpa.rovereto@scuole.provincia.tn.it,segr.ifpa.rovereto@scuole.provincia.tn.it,http://www.alberghierorovereto.it,TNCF011001,3,"

                
Istituto Formazione Professionale Alberghiero - Rovereto
            
"
,,,Istituzione scolastica e formativa,,WALTER IORI,"Via Giovanni Prati,
    
22 -
    
38122    
TRENTO",+39 0461 987180,+39 0461 233877,cfp-upt@pec.it,,segreteria.sede@cfp-upt.it,http://www.cfp-upt.it,,1,"

                
Centro Formazione Professionale UPT - Borgo Valsugana
            
"
,,,Istituzione scolastica e formativa,FEDERICO SAMADEN,TARGA WALTER,"Via Ziehl,
    
5 -
    
38056    
LEVICO TERME",+39 0461 706294,+39 0461 702025,ifpa.levicoterme@pec.provincia.tn.it,dir.ifpa.levicoterme@scuole.provincia.tn.it,segr.ifpa.levicoterme@scuole.provincia.tn.it,http://www.alberghierolevico.it,TNCF010001,3,"

                
Istituto Formazione Professionale Alberghiero - Levico
            
"
,,,Istituzione scolastica e formativa,MARIA PRODI,,"Via Delle Fonti - Transacqua,
    
10 -
    
38054    
PRIMIERO SAN MARTINO DI CASTROZZA",+39 0439 62435,+39 0439 762466,ic.primiero@pec.provincia.tn.it,dir.icprimiero@scuole.provincia.tn.it,segr.icprimiero@scuole.provincia.tn.it,http://www.scuoleprimiero.it,TNIC810009,9,"

                
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO
            
"
,,,Istituzione scolastica e formativa,MASSIMILIANO LATINO,,"Via Giovanni XXIII,
    
64 -
    
38065    
MORI",+39 0464 918669,,ic.mori@pec.provincia.tn.it,dir.ic.mori@scuole.provincia.tn.it,segr.ic.mori@scuole.provincia.tn.it,http://www.icmori.it/,TNIC84900G,3,"

                
ISTITUTO COMPRENSIVO MORI
            
"
,,,Istituzione scolastica e formativa,PAOLO CHINCARINI,,"Viale Dei Tigli,
    
43 -
    
38066    
RIVA DEL GARDA",+39 0464 578511,+39 0464 578555,floriani@pec.provincia.tn.it,dir.istitutofloriani@scuole.provincia.tn.it,segr.istitutofloriani@scuole.provincia.tn.it,http://www.g-floriani.it,TNIS00800D,5,"

                
ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" - RIVA DEL GARDA
            
"
,,,Istituzione scolastica e formativa,MARIA RITA MAGISTRO,DELUCA ENZO,"Viale Verona,
    
141 -
    
38123    
TRENTO",+39 0461 933147,+39 0461 931682,ifp.trento@pec.provincia.tn.it,ifp.trento@scuole.provincia.tn.it,ifp.trento@scuole.provincia.tn.it,https://ifpsandropertinitrento.it,TNCF012001,4,"

                
Istituto Formazione Professionale Servizi alla Persona e Legno ""S. Pertini"" - Trento
            
"
,,,Istituzione scolastica e formativa,LICIA CAMPI,,"Via Colle Verde,
    
3 -
    
38010    
DENNO",+39 0461 655783,+39 0461 655783,ic.bassaanaunia@pec.provincia.tn.it,dir.ic.bassaanauniatuenno@scuole.provincia.tn.it,segr.ic.denno@scuole.provincia.tn.it,http://www.icbassaanauniatuenno.it,TNIC82900A,8,"

                
ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO
            
"
,,,Istituzione scolastica e formativa,NICOLA PARZIAN,,"Via IV Novembre,
    
35/1 -
    
38121    
TRENTO",+39 0461 990287,+39 0461 994418,ic.trento7@pec.provincia.tn.it,dir.ic.tn7@scuole.provincia.tn.it,segr.ic.tn7@scuole.provincia.tn.it,http://www.trento7.it,TNIC85100G,5,"

                
ISTITUTO COMPRENSIVO TRENTO 7 ""Rita Levi Montalcini""
            
"
,,,Istituzione scolastica e formativa,MARIA TERESA DOSSO,,"Via Balista,
    
6 -
    
38068    
ROVERETO",+39 0464 485511,+39 0464 485550,donmilani@pec.provincia.tn.it,dir.donmilani@scuole.provincia.tn.it,segr.donmilani@scuole.provincia.tn.it,http://www.domir.it,TNIS009009,5,"

                
ISTITUTO DI ISTRUZIONE ""don L.Milani"" - ROVERETO
            
"
,,,Istituzione scolastica e formativa,PAOLO ANDREA BUZZELLI,,"Via Alberti Lutti,
    
7 -
    
38066    
RIVA DEL GARDA",+39 0464 552316,+39 0464 552316,maffei@pec.provincia.tn.it,dir.liceo.maffei@scuole.provincia.tn.it,segr.liceo.maffei@scuole.provincia.tn.it,https://e.liceomaffei.it,TNPC01000Q,6,"

                
LICEO ""A. Maffei"" - RIVA DEL GARDA
            
"
,,,Istituzione scolastica e formativa,GIUSEPPE GAMMINO,,"Via Benacense,
    
32 -
    
38068    
ROVERETO",+39 0464 420532,+39 0464 432707,ic.roveretosud@pec.provincia.tn.it,dir.ic.roveretosud@scuole.provincia.tn.it,segr.ic.roveretosud@scuole.provincia.tn.it,http://www.icroveretosud.eu,TNIC85500V,4,"

                
ISTITUTO COMPRENSIVO ROVERETO SUD
            
"
,,,Istituzione scolastica e formativa,MASSIMO GABURRO,,"Via Chini,
    
31 -
    
38023    
CLES",+39 0463 421457,+39 0463 424830,ic.cles@pec.provincia.tn.it,dir.ic.cles@scuole.provincia.tn.it,segr.ic.cles@scuole.provincia.tn.it,http://www.iccles.it,TNIC83100A,4,"

                
ISTITUTO COMPRENSIVO CLES ""B. Clesio""
            
"
,,,Istituzione scolastica e formativa,CHIARA MOTTER,,"Via Mattioli,
    
8 -
    
38122    
TRENTO",0461914499,0461915472,linguisticotrento@pec.provincia.tn.it,dir.linguisticotrento@scuole.provincia.tn.it,segr.linguisticotrento@scuole.provincia.tn.it,http://www.linguisticotrento.it,TNPS11000Q,1,"

                
LICEO LINGUISTICO ""S. M. Scholl"" - TRENTO
            
"
,,,Istituzione scolastica e formativa,PAOLA BORTOLOTTI,,"Viale Damiano Chiesa,
    
10 -
    
38066    
RIVA DEL GARDA",+39 0464 553088,+39 0464 553088,riva1@pec.provincia.tn.it,dir.riva1@scuole.provincia.tn.it,segr.riva1@scuole.provincia.tn.it,http://www.riva1.it,TNIC841001,4,"

                
ISTITUTO COMPRENSIVO RIVA 1
            
"
,,,Istituzione scolastica e formativa,FRANCESCA BORROI,,"Viale Della Vittoria,
    
43 -
    
38068    
ROVERETO",+39 0464 431515,+39 0464 489616,ic.isera-rovereto@pec.provincia.tn.it,dir.ic.isera_rovereto@scuole.provincia.tn.it,segr.ic.isera_rovereto@scuole.provincia.tn.it,http://www.isera-rovereto.it,TNIC845008,3,"

                
ISTITUTO COMPRENSIVO ISERA - ROVERETO
            
"
,,,Istituzione scolastica e formativa,MICHELE ROSA,,"Corso Rosmini,
    
86 -
    
38068    
ROVERETO",+39 0464 433709,+39 0464 450456,ic.roveretoest@pec.provincia.tn.it,dir.ic.roveretoest@scuole.provincia.tn.it,segr.ic.roveretoest@scuole.provincia.tn.it,http://www.roveretoest.it,TNIC853007,5,"

                
ISTITUTO COMPRENSIVO ROVERETO EST
            
"
SARA TONAZZOLI,suor Erminia Morelli,,Scuola dell'infanzia,,,"Piazza S Teresa Verzeri,
    
4 -
    
38122    
TRENTO",0461-981465,,materna@istitutosacrocuore.it,,,,,1,"

                
Scuola dell'infanzia di Trento  ""Sacro Cuore""
            
"
ANNARITA CAPPELLETTI,,,Circolo di coordinamento pedagogico,,,"Via Circonvallazione,
    
65 -
    
38079    
TIONE DI TRENTO",+39 0461 493385,+39 0461 493389,circolo.coordinamento08@provincia.tn.it,,circolo.coordinamento08@provincia.tn.it,,,9,"

                
Circolo di coordinamento n. 8
            
"
MARTINA BASSETI,,,Circolo di coordinamento pedagogico,,,"Via Gilli,
    
3 -
    
38121    
TRENTO",+39 0461 496955,+39 0461 497257,circolo.coordinamento05@provincia.tn.it,,circolo.coordinamento05@provincia.tn.it,,,8,"

                
Circolo di coordinamento n. 5
            
"
SIMONETTA ERRIGO,,,Circolo di coordinamento pedagogico,,,"Via della Gana,
    
10 -
    
38027    
MALE'",+39 0461 491939,+39 0461 491940,circolo.coordinamento11@provincia.tn.it,,circolo.coordinamento11@provincia.tn.it,,,13,"

                
Circolo di coordinamento n. 11
            
"
CHIARA NADALON,,,Circolo di coordinamento pedagogico,,,"Via Gilli,
    
3 -
    
38121    
TRENTO",+39 0461 496952,+39 0461 497257,circolo.coordinamento03@provincia.tn.it,,circolo.coordinamento03@provincia.tn.it,,,8,"

                
Circolo di coordinamento n. 3
            
"
GINEVRA RELLA,,,Circolo di coordinamento pedagogico,,,"Viale Trento,
    
37/E -
    
38068    
ROVERETO",+39 0464 493114,+39 0464 493115,circolo.coordinamento10@provincia.tn.it,,circolo.coordinamento10@provincia.tn.it,,,8,"

                
Circolo di coordinamento n. 10
            
"
FRANCESCA VARESCHI,,,Scuola dell'infanzia,,,"Via De Ferrari,
    
1 -
    
38061    
ALA",0464-674717,+39 0464 674717,ala.presidente@fpsm.tn.it,,ala.segretario@fpsm.tn.it,,,1,"

                
Scuola dell'infanzia di Ala
            
"
,ALBERTO GALLI,,Scuola dell'infanzia,,,"Corso Verona,
    
109 -
    
38068    
ROVERETO",0464-432307,0464-400420,lizzanella.materna@associazionecoesi.com,,,,,1,"

                
Scuola dell'infanzia di Lizzanella
            
"
,,,Scuola dell'infanzia,,FRANCESCA PAROLARI,"Piazza Garbari,
    
5 -
    
38057    
PERGINE VALSUGANA",0461-502351,,info@asifchimelli.it,,,,,1,"

                
Scuola dell'infanzia di Pergine  ""G.B. Chimelli""
            
"
,FRANCO ANTONINI,,Scuola dell'infanzia,,,"Viale Roma,
    
32 -
    
38066    
RIVA DEL GARDA",0464-552360,0464-560456,rivagiardino.materna@associazionecoesi.com,,,,,1,"

                
Scuola dell'infanzia di Riva ""Giardino""
            
"
,STEFANO TALASSI,,Scuola dell'infanzia,,,"Via Dei Colli,
    
4 -
    
38015    
LAVIS",0461-240366,0461-249078,lavis.materna@associazionecoesi.com,,,,,1,"

                
Scuola dell'infanzia di Lavis  ""Madre Maddalena di Canossa""
            
"
,CHIARA ZONTINI,,Scuola dell'infanzia,,,"Salita Alla Bastia,
    
2 -
    
38089    
STORO",0465-685131,0465685131,lodrone.materna@associazionecoesi.com,,,,,1,"

                
Scuola dell'infanzia di Lodrone
            
"
